Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
selbarrak,سيدي البــــراق,0.0705679,11,0.3038,282.59,1.4551,138.339,3.17028,45.4488,46.3079,99.1285,246.321,279.572,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-03-16 00:00:00
ziatine,الزياتين,0.0,12,0.0057854,26.2776,0.123364,5.66785,0.101826,3.26991,2.95,12.9202,24.4226,30.881,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-03-16 00:00:00
gamgoum,القمقوم,0.0175192,13,0.0,17.8369,0.0483281,5.66785,0.0,4.0594,1.45458,3.69093,7.0697,17.6651,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-03-16 00:00:00
harka,الحركة,0.0100044,35,0.0,29.9717,0.104999,0.419104,0.0,0.13,2.53,,20.6358,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-03-16 00:00:00
siliana,سليانـــــــة,0.0,14,0.093303,9.26253,0.0455965,9.98497,1.08717,4.19578,5.336,5.79154,26.5933,18.8009,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-03-16 00:00:00
lakhmess,لخمـــــــاس,0.0163985,15,0.01584,2.76799,0.0549092,1.30278,0.120936,1.4825,1.78231,0.990408,8.56571,4.83018,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-03-16 00:00:00
rmil,الرميـــــــل,0.00100582,16,0.000681,1.3398,0.0190952,1.40129,0.010904,0.100336,1.58175,0.56308,8.42966,1.1944,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-03-16 00:00:00
birmcherga,بئر المشارقـــة,0.0109433,17,0.002,32.9552,0.150304,8.56333,0.032,0.5228,2.4676,5.5805,20.7287,35.1464,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-03-16 00:00:00
rmel,الرمــــــل,0.0,18,0.0055,4.6934,0.0950271,5.47712,0.089,1.18263,1.86195,4.13441,13.6365,10.7272,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-03-16 00:00:00
nebhana,نبهانــــــة,0.0264762,19,0.0421,6.7418,0.268717,5.24784,0.19503,3.33031,3.55211,3.55433,16.6547,13.5636,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-03-16 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.069502,51.8485,0.393333,21.8574,1.0099,7.7799,2.95265,6.07214,33.5079,53.6574,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-03-16 00:00:00
elhaouareb,هـــــــوارب,0.00268182,21,0.0,0.300336,0.111283,7.49118,0.07776,0.799314,1.21275,2.51083,11.9482,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-03-16 00:00:00
sficifa,سفيسيفة,0.00034875,22,0.0,1.55724,0.00558,0.208263,0.0,0.0,11.037,0.065389,60.7005,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-03-16 00:00:00
sidiach,سيدي يعيــــش,0.0,23,0.0,2.42152,0.0,0.00152,0.0,0.0,0.0200728,0.457613,1.44467,4.44,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-03-16 00:00:00
elbrek,البــــــــرك,0.00051135,24,0.0,0.09,0.0081816,0.492508,0.0,0.1,0.32954,0.138231,1.86254,1.4,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-03-16 00:00:00
bezirk,بزيـــــــغ,0.000795726,25,0.0,1.486,0.0106776,0.626336,0.0,0.609,0.501218,1.96671,4.06723,3.9684,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-03-16 00:00:00
chiba,شيبـــــــة,0.00023854,26,0.016318,0.9282,0.0110207,0.266913,0.056928,0.720603,0.850857,1.55653,5.55599,0.83164,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-03-16 00:00:00
masri,مصــــــري,0.000511141,27,0.0,4.40781,0.0263779,0.488047,0.0,4.16645,0.542286,0.642645,3.62137,3.80608,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-03-16 00:00:00
lebna,لبنــــــــة,0.0,28,0.009,11.6737,0.140086,2.91731,0.1408,0.963863,2.21669,19.3491,15.8915,21.3994,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-03-16 00:00:00
hma,الحمـــــى,0.0,29,0.0,1.91921,0.00765612,1.7102,0.0,0.017334,0.91804,0.348706,3.87385,1.87436,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-03-16 00:00:00
abid,العبيـــــــد,0.000135989,30,0.00621,3.95328,0.0334642,0.73229,0.068436,0.872623,0.951204,3.34615,4.53142,7.63623,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-03-16 00:00:00
mellegue,مـــــلاق,0.00534532,1,0.1,11.4174,0.862794,28.886,1.4048,26.1432,12.6216,34.8373,113.369,21.4043,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-03-15 00:00:00
benmetir,بنيمطيــر,0.013955,2,0.0788,22.5788,0.0603526,12.8741,1.0972,13.9184,7.20793,10.5446,33.2642,39.9798,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-03-15 00:00:00
kasseb,كســاب,0.0492077,3,0.046656,38.3226,0.136677,19.6932,0.714792,17.917,7.47992,10.0751,34.3487,51.2564,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-03-15 00:00:00
barbara,بربرة,0.0988825,4,0.05003,64.712,0.777067,35.8541,0.837425,15.6944,11.9027,18.6193,66.8352,65.23,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-03-15 00:00:00
sidisalem,سيدي ســــالم,0.0150288,5,0.64337,286.14,3.12059,114.079,9.65055,116.168,72.7512,133.811,281.835,447.161,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-03-15 00:00:00
bouheurtma,بو هرتمـــــه,0.0,6,0.2324,31.6062,0.697088,23.4409,2.68748,26.8253,14.2708,26.7987,61.9161,53.2229,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-03-15 00:00:00
joumine,جوميــــــن,0.0232696,7,0.278246,47.1496,1.07221,31.834,2.31417,13.1535,12.5586,25.5302,60.3115,53.9,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-03-15 00:00:00
ghezala,غزالـــــــة,0.0174953,8,0.008,6.28332,0.117521,2.2445,0.1281,0.8344,1.56608,2.65123,7.44214,7.99367,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-03-15 00:00:00
melah,المالح,0.00688065,33,0.04973,12.5436,0.0314483,6.22291,0.72082,5.39679,5.89,8.87215,20.06,29.64,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-03-15 00:00:00
tine,الطين,0.003405,34,0.0,8.255,0.0542471,4.52549,0.0,5.15574,2.18,,14.2048,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-03-15 00:00:00
sejnane,سجنــــــان,0.174922,9,0.397432,94.6166,1.39453,77.4889,6.77005,113.143,16.7054,52.8605,101.948,94.4314,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-03-15 00:00:00
zarga,الزرقة,0.00331524,10,0.0,17.674,0.0200613,5.74409,0.1518,3.5693,3.41,18.4871,17.52,22.636,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-03-15 00:00:00
kebir,الكبير,0.000756027,31,0.0,5.8936,0.127369,13.103,0.0,11.6624,5.17428,11.0318,32.6849,6.684,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-03-15 00:00:00
moula,المولى,0.00256605,32,0.0,26.1646,0.0285584,12.3281,0.0,10.2607,3.48188,7.96225,27.8538,26.3226,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-03-15 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.30388,282.892,1.38453,138.268,2.86648,45.145,46.3079,99.1285,244.827,280.176,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-03-15 00:00:00
ziatine,الزياتين,0.0131526,12,0.0057944,26.302,0.123364,5.65033,0.0960404,3.26412,2.95,12.9105,24.3274,30.94,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-03-15 00:00:00
gamgoum,القمقوم,0.00213162,13,0.0,17.8226,0.0308089,5.65033,0.0,4.0594,1.45458,3.68765,7.02278,17.6651,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-03-15 00:00:00
harka,الحركة,0.00666957,35,0.0,29.9717,0.0949945,0.4091,0.0,0.13,2.53,,20.5542,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-03-15 00:00:00
siliana,سليانـــــــة,0.0,14,0.059809,9.36025,0.0455965,9.98497,0.993864,4.10248,5.336,5.77797,26.4212,18.8009,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-03-15 00:00:00
lakhmess,لخمـــــــاس,0.00271327,15,0.001922,2.76799,0.0385106,1.28638,0.105096,1.46667,1.78231,0.979948,8.50821,4.82156,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-03-15 00:00:00
rmil,الرميـــــــل,0.00111103,16,0.000502,1.3398,0.0180893,1.40029,0.010223,0.099655,1.58175,0.561909,8.37863,1.1944,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-03-15 00:00:00
birmcherga,بئر المشارقـــة,0.0138793,17,0.002,32.9552,0.13936,8.55239,0.03,0.5208,2.4676,5.56343,20.6491,35.1464,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-03-15 00:00:00
rmel,الرمــــــل,0.0,18,0.0055,4.7452,0.0950271,5.47712,0.0835,1.17712,1.86195,4.13441,13.5764,10.7708,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-03-15 00:00:00
nebhana,نبهانــــــة,0.0449942,19,0.03271,6.76924,0.242241,5.22137,0.15293,3.28821,3.55211,3.53676,16.5401,13.607,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-03-15 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.065463,51.9437,0.393333,21.8574,0.940401,7.7104,2.95265,6.07214,33.4127,53.7526,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-03-15 00:00:00
elhaouareb,هـــــــوارب,0.00268182,21,0.0,0.300336,0.108601,7.4885,0.07776,0.799314,1.21275,2.50814,11.9091,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-03-15 00:00:00
sficifa,سفيسيفة,0.00034875,22,0.0,1.55724,0.00523125,0.207915,0.0,0.0,11.037,0.0649182,60.3445,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-03-15 00:00:00
sidiach,سيدي يعيــــش,0.0,23,0.0,2.42152,0.0,0.00152,0.0,0.0,0.0200728,0.457613,1.44402,4.44,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-03-15 00:00:00
elbrek,البــــــــرك,0.00051135,24,0.0,0.09,0.00767025,0.491997,0.0,0.1,0.32954,0.138231,1.85191,1.4,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-03-15 00:00:00
bezirk,بزيـــــــغ,0.00113458,25,0.0,1.486,0.00988184,0.625541,0.0,0.609,0.501218,1.96471,4.05106,3.9684,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-03-15 00:00:00
chiba,شيبـــــــة,0.000899312,26,0.00574,0.94524,0.0107821,0.266674,0.04061,0.704285,0.850857,1.55653,5.52854,0.843,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-03-15 00:00:00
masri,مصــــــري,0.00080687,27,0.0,4.3573,0.0258667,0.487536,0.0,4.16645,0.542286,0.641192,3.60388,3.74395,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-03-15 00:00:00
lebna,لبنــــــــة,0.0197396,28,0.008,11.723,0.140086,2.91731,0.1318,0.954863,2.21669,19.3491,15.82,21.467,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-03-15 00:00:00
hma,الحمـــــى,0.000619941,29,0.0,1.92511,0.00765612,1.7102,0.0,0.017334,0.91804,0.348706,3.84424,1.87993,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-03-15 00:00:00
abid,العبيـــــــد,0.0,30,0.0056,3.9609,0.0333282,0.732154,0.062226,0.866413,0.951204,3.34615,4.50074,7.64764,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-03-15 00:00:00
mellegue,مـــــلاق,0.030522,1,0.1,11.5145,0.857449,28.8807,1.3048,26.0432,12.6216,34.7085,112.962,21.3668,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-03-14 00:00:00
benmetir,بنيمطيــر,0.0183572,2,0.0832,22.6449,0.0463976,12.8602,1.0184,13.8396,7.20793,10.5446,33.0317,40.0582,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-03-14 00:00:00
kasseb,كســاب,0.021273,3,0.046656,38.3226,0.0874692,19.644,0.668136,17.8704,7.47992,9.91399,34.1074,51.1898,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-03-14 00:00:00
barbara,بربرة,0.0146066,4,0.05016,64.6688,0.678184,35.7552,0.787395,15.6443,11.9027,18.5343,66.4512,65.3595,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-03-14 00:00:00
sidisalem,سيدي ســــالم,0.61783,5,0.64337,286.745,3.10556,114.064,9.00718,115.525,72.7512,131.724,279.488,445.601,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-03-14 00:00:00
bouheurtma,بو هرتمـــــه,0.0471814,6,0.2892,31.8112,0.697088,23.4409,2.45508,26.5929,14.2708,26.6709,61.4558,53.2229,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-03-14 00:00:00
joumine,جوميــــــن,0.0664714,7,0.13469,47.4123,1.04894,31.8107,2.03593,12.8753,12.5586,25.4433,59.9064,54.1039,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-03-14 00:00:00
ghezala,غزالـــــــة,0.0100267,8,0.009,6.27476,0.100026,2.227,0.1201,0.8264,1.56608,2.63603,7.39162,7.98357,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-03-14 00:00:00
melah,المالح,0.0,33,0.04744,12.588,0.0245677,6.21603,0.67109,5.34706,5.89,8.87215,19.87,29.784,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-03-14 00:00:00
tine,الطين,0.003405,34,0.0,8.255,0.0508421,4.52208,0.0,5.15574,2.18,,14.1345,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-03-14 00:00:00
sejnane,سجنــــــان,0.254054,9,0.537132,94.5549,1.21961,77.314,6.37262,112.745,16.7054,52.8188,101.409,94.1227,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-03-14 00:00:00
zarga,الزرقة,1.52355e-05,10,0.0097,17.674,0.016746,5.74077,0.1518,3.5693,3.41,18.487,17.41,22.654,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-03-14 00:00:00
kebir,الكبير,0.00835603,31,0.0,5.8936,0.126613,13.1022,0.0,11.6624,5.17428,11.0149,32.518,6.6688,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-03-14 00:00:00
moula,المولى,0.00342141,32,0.0,26.1646,0.0259924,12.3255,0.0,10.2607,3.48188,7.96043,27.7414,26.3226,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-03-14 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.30376,283.496,1.38453,138.268,2.5626,44.8411,46.3079,98.4055,243.333,280.176,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2021-03-14 00:00:00
ziatine,الزياتين,0.0130872,12,0.0067234,26.302,0.110211,5.6482,0.090246,3.25833,2.95,12.9105,24.2323,30.999,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2021-03-14 00:00:00
gamgoum,القمقوم,0.00266453,13,0.0,17.8226,0.0286773,5.6482,0.0,4.0594,1.45458,3.68511,6.97586,17.6651,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2021-03-14 00:00:00
harka,الحركة,0.00833697,35,0.0,29.9717,0.0883249,0.40243,0.0,0.13,2.53,,20.4726,,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2021-03-14 00:00:00
siliana,سليانـــــــة,0.0103739,14,0.004687,9.4254,0.0455965,9.98497,0.934055,4.04267,5.336,5.76841,26.2491,18.8009,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2021-03-14 00:00:00
lakhmess,لخمـــــــاس,0.0,15,0.001983,2.76799,0.0357974,1.28366,0.103174,1.46474,1.78231,0.978019,8.45072,4.82156,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2021-03-14 00:00:00
rmil,الرميـــــــل,0.00101005,16,0.004095,1.3398,0.0169783,1.39917,0.009721,0.099153,1.58175,0.560738,8.32761,1.1944,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2021-03-14 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.002,32.9552,0.125481,8.53851,0.028,0.5188,2.4676,5.54589,20.5695,35.1464,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2021-03-14 00:00:00
rmel,الرمــــــل,0.0,18,0.0055,4.797,0.0950271,5.47712,0.078,1.17163,1.86195,4.13441,13.5164,10.8578,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2021-03-14 00:00:00
nebhana,نبهانــــــة,0.0083942,19,0.00983,6.76924,0.197247,5.17637,0.12022,3.2555,3.55211,3.51577,16.4255,13.607,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2021-03-14 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.066419,52.0389,0.393333,21.8574,0.874938,7.64494,2.95265,6.02534,33.3174,53.8478,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2021-03-14 00:00:00
elhaouareb,هـــــــوارب,0.00178788,21,0.0,0.300336,0.105919,7.48582,0.07776,0.799314,1.21275,2.50492,11.87,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2021-03-14 00:00:00
sficifa,سفيسيفة,0.00034875,22,0.0,1.55724,0.0048825,0.207566,0.0,0.0,11.037,0.0644474,59.9885,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2021-03-14 00:00:00
sidiach,سيدي يعيــــش,0.0,23,0.0,2.42152,0.0,0.00152,0.0,0.0,0.0200728,0.457613,1.44337,4.44,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2021-03-14 00:00:00
elbrek,البــــــــرك,0.00051135,24,0.0,0.09,0.0071589,0.491486,0.0,0.1,0.32954,0.138231,1.84128,1.4,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2021-03-14 00:00:00
bezirk,بزيـــــــغ,0.000906137,25,0.0,1.486,0.00874727,0.624406,0.0,0.609,0.501218,1.96471,4.03489,3.9776,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2021-03-14 00:00:00
chiba,شيبـــــــة,0.00134423,26,0.0,0.94524,0.00988281,0.265775,0.03487,0.698545,0.850857,1.55653,5.50109,0.85436,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2021-03-14 00:00:00
masri,مصــــــري,0.00086353,27,0.0,4.32123,0.0250598,0.486729,0.0,4.16645,0.542286,0.640842,3.58639,3.68354,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2021-03-14 00:00:00
lebna,لبنــــــــة,0.0,28,0.0076,11.723,0.120347,2.89757,0.1238,0.946863,2.21669,19.3285,15.7485,21.467,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2021-03-14 00:00:00
hma,الحمـــــى,0.00101601,29,0.0,1.92511,0.00703618,1.70958,0.0,0.017334,0.91804,0.348706,3.81462,1.89106,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2021-03-14 00:00:00
abid,العبيـــــــد,0.0,30,0.007391,3.96851,0.0333282,0.732154,0.056626,0.860813,0.951204,3.34383,4.47005,7.64764,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2021-03-14 00:00:00
mellegue,مـــــلاق,0.0784916,1,0.1,11.5872,0.826927,28.8501,1.2048,25.9432,12.6216,34.6971,112.229,21.605,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-03-13 00:00:00
benmetir,بنيمطيــر,0.00540727,2,0.07,22.711,0.0280404,12.8418,0.9352,13.7564,7.20793,10.3977,32.4584,40.0582,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-03-13 00:00:00
kasseb,كســاب,0.0210617,3,0.046656,38.351,0.0661962,19.6227,0.62148,17.8237,7.47992,9.65862,33.4808,51.1232,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-03-13 00:00:00
barbara,بربرة,0.066227,4,0.05886,64.712,0.663578,35.7406,0.737235,15.5942,11.9027,18.296,65.348,65.8775,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-03-13 00:00:00
sidisalem,سيدي ســــالم,0.0105423,5,0.64337,286.745,2.48773,113.446,8.36381,114.882,72.7512,127.591,273.905,442.508,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-03-13 00:00:00
bouheurtma,بو هرتمـــــه,0.00714239,6,0.2253,32.0163,0.649906,23.3938,2.16588,26.3037,14.2708,26.3834,60.2128,53.0093,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-03-13 00:00:00
joumine,جوميــــــن,0.0757721,7,0.14275,47.4873,0.98247,31.7442,1.90124,12.7406,12.5586,25.1142,58.7871,54.3486,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-03-13 00:00:00
ghezala,غزالـــــــة,0.0107524,8,0.0097,6.27476,0.0899994,2.21698,0.1111,0.8174,1.56608,2.60908,7.24521,7.96337,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-03-13 00:00:00
melah,المالح,0.0,33,0.04853,12.6768,0.0245677,6.21603,0.62365,5.29962,5.89,8.87215,19.4834,29.928,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-03-13 00:00:00
tine,الطين,0.004086,34,0.0,8.255,0.0474371,4.51868,0.0,5.15574,2.18,,13.9939,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-03-13 00:00:00
sejnane,سجنــــــان,0.0602472,9,0.524222,94.5549,0.965552,77.06,5.83549,112.208,16.7054,52.6382,99.8049,93.6904,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-03-13 00:00:00
zarga,الزرقة,1.4529e-06,10,0.0088,17.687,0.0071308,5.73116,0.1325,3.55,3.41,18.4826,17.1669,22.672,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-03-13 00:00:00
kebir,الكبير,0.00921158,31,0.0,5.886,0.118257,13.0939,0.0,11.6624,5.17428,10.9891,31.9716,6.646,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-03-13 00:00:00
moula,المولى,0.00267297,32,0.0,26.1646,0.022571,12.3221,0.0,10.2607,3.48188,7.95892,27.368,26.337,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-03-13 00:00:00
